671 markers:
  type 0 ((type 0)): 0 markers
  type 1 ((type 1)): 0 markers
  type 2 ((type 2)): 0 markers
  type 3 ((type 3)): 1 markers
  type 4 ((type 4)): 24 markers
  type 5 ((type 5)): 39 markers
  type 6 ((type 6)): 79 markers
  type 7 ((type 7)): 42 markers
  type 8 ((type 8)): 0 markers
  type 9 ((type 9)): 0 markers
  type 10 ((type 10)): 0 markers
  type 11 ((type 11)): 4 markers
  type 12 ((type 12)): 131 markers
  type 13 ((type 13)): 196 markers
  type 14 ((type 14)): 23 markers
  type 15 ((type 15)): 0 markers
  type 16 ((type 16)): 4 markers
  type 17 (neighbourhood): 13 markers
  type 18 (engage tip sms): 56 markers
  type 19 (money pickup): 59 markers
  type 20 ((type 20)): 0 markers
type 0 ((type 0)) markers:
type 1 ((type 1)) markers:
type 2 ((type 2)) markers:
type 3 ((type 3)) markers:
  structsize 116 areaMin (-1795.22, -2318.09) areaMax ( 2288.66,   331.65) position (-1334.23,  -213.86) radius 6
  structsize 100 areaMin ( -258.00, -1781.00) areaMax ( -250.00, -1773.00) position ( -258.00, -1781.00) radius 4
  structsize 100 areaMin ( -231.00, -1968.00) areaMax ( -223.00, -1960.00) position ( -231.00, -1968.00) radius 4
  structsize 100 areaMin (  -52.00, -1271.00) areaMax (  -44.00, -1263.00) position (  -52.00, -1271.00) radius 4
  structsize 100 areaMin (  132.00, -1348.00) areaMax (  140.00, -1340.00) position (  132.00, -1348.00) radius 4
  structsize 100 areaMin (  495.00, -1811.00) areaMax (  503.00, -1803.00) position (  495.00, -1811.00) radius 4
  structsize 100 areaMin (  477.00, -1841.00) areaMax (  485.00, -1833.00) position (  477.00, -1841.00) radius 4
  structsize 100 areaMin (  740.00, -1177.00) areaMax (  748.00, -1169.00) position (  740.00, -1177.00) radius 4
  structsize 100 areaMin (  502.00,   140.00) areaMax (  510.00,   148.00) position (  502.00,   140.00) radius 4
  structsize 100 areaMin ( -344.00,  -455.00) areaMax ( -336.00,  -447.00) position ( -344.00,  -455.00) radius 4
  structsize 100 areaMin (-1301.00,   660.00) areaMax (-1293.00,   668.00) position (-1301.00,   660.00) radius 4
  structsize 100 areaMin ( -372.00,  1170.00) areaMax ( -364.00,  1178.00) position ( -372.00,  1170.00) radius 4
  structsize 100 areaMin ( -181.00,  1590.00) areaMax ( -173.00,  1598.00) position ( -181.00,  1590.00) radius 4
  structsize 100 areaMin ( -492.00,  1159.00) areaMax ( -484.00,  1167.00) position ( -492.00,  1159.00) radius 4
type 20 ((type 20)) markers:
